user_id,age,gender,weight,height,water,steps,exercise,sleep,fitness_level,goal,true_level,gender_encoded,goal_encoded
47,26,female,83.7,148,1.66,8613,41,6.9,2,performance,1,0,2
48,21,male,55.8,184,1.36,23143,75,9.3,4,performance,3,1,2
49,65,male,91.2,148,1.92,16171,64,7.1,3,consistency,2,1,0
50,14,male,61.7,165,1.77,13699,41,8.2,2,habits,2,1,1
51,96,male,44.6,143,2.67,15171,60,8.0,4,habits,2,1,1
52,72,female,65.1,156,1.96,13688,35,6.9,2,consistency,2,0,0
53,83,male,63.4,155,2.68,13251,10,7.0,2,performance,2,1,2
54,56,male,65.0,154,1.97,24335,40,7.5,3,performance,3,1,2
55,20,female,73.5,174,2.16,13575,63,5.1,2,habits,2,0,1
56,59,female,86.5,196,2.83,5838,61,8.0,1,habits,1,0,1
57,47,male,67.1,191,2.64,21209,80,7.2,3,habits,3,1,1
58,90,female,59.6,144,2.36,25380,73,8.3,3,performance,3,0,2
59,93,female,53.1,194,1.78,14538,34,7.6,2,consistency,2,0,0
60,48,male,63.0,144,2.36,18577,62,7.3,5,habits,3,1,1
61,62,female,41.7,159,1.8,23380,32,7.5,3,habits,2,0,1
62,16,female,59.1,154,2.22,19076,61,7.6,4,consistency,3,0,0
63,14,male,88.7,157,2.53,3863,41,8.6,1,habits,1,1,1
64,18,male,57.6,186,2.24,22777,44,7.4,3,performance,3,1,2
65,66,male,79.4,141,1.66,17717,76,7.7,4,consistency,3,1,0
66,16,female,51.6,168,3.64,25162,69,6.0,3,habits,3,0,1
67,66,other,96.6,152,2.62,23437,52,7.3,3,habits,3,2,1
68,75,female,97.6,143,1.22,8393,29,8.7,2,performance,1,0,2
69,30,male,78.9,181,1.69,7319,60,7.5,1,habits,1,1,1
70,56,female,99.9,184,2.28,13082,50,6.1,2,habits,2,0,1
71,46,female,75.3,149,3.39,13767,79,6.2,2,performance,2,0,2
72,86,male,81.5,170,1.82,27016,71,6.7,4,performance,3,1,2
73,74,male,88.9,180,2.88,10055,52,8.2,2,performance,2,1,2
74,26,female,72.7,147,3.78,29847,65,8.4,5,habits,3,0,1
75,60,male,46.7,142,2.36,24041,73,4.0,5,habits,3,1,1
76,27,female,81.8,187,2.01,9910,26,7.1,2,habits,1,0,1
77,84,male,62.9,185,1.47,8289,29,7.3,2,habits,1,1,1
78,90,male,64.0,148,2.46,20432,81,6.4,4,consistency,3,1,0
79,99,male,74.5,169,2.77,27178,75,7.1,5,habits,3,1,1
80,74,male,78.5,192,2.66,13007,43,8.5,2,consistency,2,1,0
81,52,female,72.3,150,2.96,8360,38,7.6,2,habits,1,0,1
82,97,male,79.5,174,1.88,27456,54,6.8,3,habits,3,1,1
83,92,female,59.4,176,1.02,21953,76,7.1,3,performance,3,0,2
84,94,female,69.4,181,2.19,12314,52,7.0,2,habits,2,0,1
85,65,female,82.7,152,2.61,21323,42,7.6,3,habits,2,0,1
86,36,male,96.6,175,2.17,5061,55,5.7,1,habits,1,1,1
87,38,female,101.9,195,1.77,5180,65,6.4,1,habits,1,0,1
88,72,female,76.5,152,2.29,10040,57,8.2,2,habits,2,0,1
89,53,male,82.6,151,3.26,10044,63,7.1,2,habits,2,1,1
90,41,male,99.7,176,2.47,10800,68,6.4,2,consistency,2,1,0
91,27,female,59.9,149,1.94,10970,25,6.4,2,performance,1,0,2
92,57,other,79.4,199,1.85,8831,77,7.9,2,consistency,2,2,0
93,77,male,81.5,195,1.88,7687,56,6.6,1,habits,1,1,1
94,83,female,91.7,148,3.35,11692,57,7.7,2,consistency,2,0,0
95,21,female,52.9,191,2.67,21260,78,6.9,5,habits,3,0,1
96,13,female,55.9,146,2.19,10841,29,6.1,2,consistency,1,0,0
97,20,other,70.3,141,1.86,13339,45,7.4,2,consistency,2,2,0
98,75,female,75.7,193,3.17,18914,66,7.2,3,habits,3,0,1
99,23,male,86.8,195,4.17,25678,63,8.2,5,performance,3,1,2
100,93,male,77.8,199,2.52,8580,48,8.1,2,performance,1,1,2
101,20,male,67.7,162,2.46,18596,42,6.9,3,performance,2,1,2
102,47,female,76.2,178,2.43,24869,54,7.6,3,habits,3,0,1
103,47,female,74.5,179,0.73,28499,39,6.9,3,consistency,3,0,0
104,45,male,96.2,178,2.52,4446,18,7.7,1,performance,1,1,2
105,17,female,72.5,160,2.49,16304,65,7.5,3,habits,2,0,1
106,53,female,64.3,162,2.3,4903,31,6.5,1,performance,1,0,2
107,40,female,76.7,168,1.9,27285,52,6.6,3,habits,3,0,1
108,19,male,73.0,153,2.13,28777,50,7.6,3,habits,3,1,1
109,85,female,46.4,165,1.91,13698,90,8.4,2,consistency,2,0,0
110,84,male,69.8,190,3.32,25155,79,8.3,4,consistency,3,1,0
111,24,male,68.5,144,1.73,5876,50,6.2,1,consistency,1,1,0
112,46,male,61.8,194,4.06,16361,58,6.6,4,performance,3,1,2
113,45,male,85.5,170,2.5,14471,57,6.5,2,habits,2,1,1
114,60,male,58.2,164,1.31,8554,46,6.6,2,habits,1,1,1
115,35,female,76.8,170,1.91,5379,28,5.3,1,performance,1,0,2
116,74,male,67.8,189,2.34,16073,108,8.3,5,habits,3,1,1
117,49,female,71.6,159,0.5,7122,48,6.6,1,consistency,1,0,0
118,56,male,76.2,183,3.12,6237,47,7.6,1,consistency,1,1,0
119,98,female,50.4,194,2.69,11490,35,6.9,2,habits,2,0,1
120,47,other,72.9,156,2.77,28825,40,7.3,3,habits,3,2,1
121,77,male,104.3,184,2.52,25909,59,6.6,3,consistency,3,1,0
122,59,male,46.6,141,1.03,3372,31,7.1,1,performance,1,1,2
123,90,male,69.1,164,1.86,9656,59,6.3,2,consistency,2,1,0
124,15,female,86.8,152,2.79,13967,60,7.2,2,consistency,2,0,0
125,13,female,74.5,197,1.46,14611,50,8.7,2,habits,2,0,1
126,17,male,80.3,178,0.5,14322,62,7.7,2,habits,2,1,1
127,26,female,40.0,167,2.24,21320,62,7.6,3,habits,3,0,1
128,39,male,79.0,181,2.1,13942,36,5.9,2,habits,2,1,1
129,21,male,58.6,194,2.29,9764,47,7.8,2,habits,2,1,1
130,91,female,74.6,145,2.71,8275,52,7.9,2,habits,1,0,1
131,27,male,69.6,142,3.25,24321,93,7.8,5,habits,3,1,1
132,54,female,104.2,197,2.98,29432,83,7.7,5,habits,3,0,1
133,89,male,78.2,174,3.44,21373,61,7.3,4,habits,3,1,1
134,63,other,68.3,157,1.14,14764,64,7.8,2,consistency,2,2,0
135,75,male,47.4,150,2.35,7349,45,8.5,1,consistency,1,1,0
136,64,male,71.8,193,2.64,9775,73,7.5,2,habits,2,1,1
137,16,female,82.3,159,1.33,11381,51,6.2,2,performance,2,0,2
138,35,male,68.8,144,1.35,20587,44,6.4,3,habits,2,1,1
139,27,other,62.4,158,2.08,25294,87,8.1,4,performance,3,2,2
140,55,female,61.4,161,2.14,26458,61,6.4,4,habits,3,0,1
141,41,female,78.0,198,3.13,17471,74,7.6,4,performance,3,0,2
142,48,female,81.4,199,1.77,11835,52,6.9,2,habits,2,0,1
143,25,female,90.4,158,1.8,24343,60,6.2,3,consistency,3,0,0
144,44,female,55.1,186,1.77,9844,47,8.0,2,habits,1,0,1
145,83,female,77.9,155,2.78,7840,15,7.8,1,consistency,1,0,0
146,71,female,68.2,163,2.41,25758,44,5.9,3,habits,3,0,1
147,98,male,68.6,180,1.87,3762,56,7.6,1,habits,1,1,1
148,40,male,76.0,143,2.12,9676,56,7.5,2,consistency,2,1,0
149,78,female,76.1,154,3.1,9295,78,8.0,2,habits,2,0,1
150,54,male,77.9,164,1.88,28531,44,7.5,3,performance,3,1,2
151,57,female,54.1,183,3.52,25991,69,8.8,4,habits,3,0,1
152,74,male,58.8,194,2.35,9043,67,7.1,2,habits,2,1,1
153,69,male,92.3,174,2.49,20667,61,7.1,4,consistency,3,1,0
154,18,female,66.7,194,3.95,11042,42,6.2,2,habits,2,0,1
155,40,female,74.6,153,1.46,8814,45,6.3,2,habits,1,0,1
156,40,male,85.8,188,2.15,18881,53,6.3,3,consistency,2,1,0
157,56,female,77.0,158,1.54,17413,67,7.5,3,consistency,2,0,0
158,96,female,78.2,177,3.47,16544,53,7.2,5,performance,3,0,2
159,42,male,83.4,175,3.38,8309,74,7.5,2,habits,2,1,1
160,74,female,40.0,146,3.57,25838,45,6.1,3,consistency,3,0,0
161,87,male,62.7,169,3.26,29666,28,6.4,3,habits,3,1,1
162,74,male,77.0,158,2.66,19784,79,6.6,5,habits,3,1,1
163,13,other,90.8,188,1.74,6914,34,9.3,1,consistency,1,2,0
164,39,male,71.0,164,1.43,22874,67,7.2,4,habits,3,1,1
165,74,female,57.3,155,3.83,25250,64,7.2,3,habits,3,0,1
166,89,female,57.7,186,2.53,14886,59,7.1,2,habits,2,0,1
167,15,male,83.3,193,1.86,12835,75,8.8,2,consistency,2,1,0
168,82,female,66.7,179,3.13,11745,39,5.6,2,performance,2,0,2
169,84,female,69.9,190,1.72,16145,71,7.2,3,consistency,2,0,0
170,39,male,79.2,147,2.88,24102,80,5.8,4,habits,3,1,1
171,21,female,40.0,157,2.28,26498,20,4.9,3,consistency,3,0,0
172,74,female,100.0,167,2.85,20450,47,6.6,3,consistency,2,0,0
173,49,female,59.0,155,2.36,16566,40,7.7,3,habits,2,0,1
174,63,female,73.6,191,0.98,5063,46,6.3,1,habits,1,0,1
175,56,male,44.4,158,2.25,11407,55,7.6,2,habits,2,1,1
176,36,female,63.7,181,2.93,10456,55,7.3,2,habits,2,0,1
177,91,female,88.7,156,2.18,9851,45,7.1,2,performance,1,0,2
178,71,female,41.3,184,2.54,3741,36,8.4,1,habits,1,0,1
179,44,female,86.9,152,1.67,28523,59,6.7,3,habits,3,0,1
180,64,female,65.9,146,2.18,12366,43,7.6,2,performance,2,0,2
181,74,female,77.3,166,1.76,13214,61,5.4,2,performance,2,0,2
182,70,female,79.9,149,2.72,12237,33,7.3,2,consistency,2,0,0
183,64,female,76.6,173,2.02,7919,28,6.8,1,habits,1,0,1
184,24,female,57.0,175,3.28,20760,81,6.3,5,habits,3,0,1
185,51,female,64.5,164,3.36,24146,64,7.8,4,habits,3,0,1
186,14,female,48.1,145,2.88,26972,43,6.6,3,habits,3,0,1
187,15,male,77.4,163,2.19,3417,47,8.8,1,habits,1,1,1
188,68,male,95.5,157,1.9,23045,61,5.0,4,consistency,3,1,0
189,93,male,42.6,162,2.6,17977,57,7.6,4,habits,3,1,1
190,71,female,58.6,145,2.23,20347,67,7.4,4,habits,3,0,1
191,14,female,67.3,168,1.76,3883,26,6.8,1,habits,1,0,1
192,14,female,72.6,164,2.14,15529,59,6.8,3,consistency,2,0,0
193,66,male,83.2,194,1.91,17892,64,7.5,4,consistency,3,1,0
194,99,female,67.7,156,1.03,24458,52,8.4,3,consistency,3,0,0
195,13,male,65.3,185,1.93,22443,52,5.6,3,habits,3,1,1
196,31,male,86.5,163,2.34,10925,64,6.4,2,habits,2,1,1
197,14,female,79.9,150,1.46,19734,65,6.2,3,habits,2,0,1
198,65,female,78.1,165,2.01,4457,14,6.0,1,habits,1,0,1
199,56,male,71.7,190,3.73,24789,73,7.6,3,performance,3,1,2
200,44,male,84.7,173,2.72,3077,47,7.7,1,performance,1,1,2
201,82,male,60.2,167,3.35,10832,56,8.3,2,consistency,2,1,0
202,44,male,58.1,142,2.47,11568,63,7.8,2,performance,2,1,2
203,80,female,81.2,150,3.22,27985,60,8.0,3,consistency,3,0,0
204,67,male,45.6,177,1.49,5187,49,5.7,1,habits,1,1,1
205,87,female,71.4,153,1.95,21141,53,8.8,3,performance,2,0,2
206,68,female,65.3,190,0.68,28989,82,7.2,4,habits,3,0,1
207,29,male,48.9,165,2.83,4281,43,8.1,1,consistency,1,1,0
208,50,male,56.0,187,3.08,4846,19,5.7,1,habits,1,1,1
209,36,male,68.4,160,1.61,5487,55,6.9,1,habits,1,1,1
210,81,male,85.5,193,2.42,23661,68,8.3,4,consistency,3,1,0
211,82,male,60.2,195,1.87,18830,55,7.3,3,habits,2,1,1
212,98,female,88.2,178,2.47,11384,43,6.4,2,habits,2,0,1
213,23,male,70.9,169,2.79,7861,34,8.4,1,habits,1,1,1
214,28,other,89.7,198,1.18,29250,63,6.1,3,habits,3,2,1
215,85,male,60.9,147,2.89,19562,55,7.4,4,performance,3,1,2
216,71,female,69.3,190,2.41,22120,46,8.0,4,consistency,3,0,0
217,82,female,75.5,159,2.48,27247,44,9.4,3,habits,3,0,1
218,92,female,67.3,187,2.32,6218,45,6.6,1,habits,1,0,1
219,15,female,84.3,171,1.87,4963,37,6.8,1,performance,1,0,2
220,32,female,40.0,161,1.93,5142,56,6.7,1,habits,1,0,1
221,71,female,106.3,198,2.05,8557,49,7.4,2,habits,1,0,1
222,48,female,82.9,146,2.68,5072,52,7.7,1,habits,1,0,1
223,31,female,67.4,148,2.49,13036,39,8.3,2,performance,2,0,2
224,79,male,61.7,184,2.35,11730,43,8.0,2,habits,2,1,1
225,31,male,57.0,140,1.91,17355,80,7.0,5,habits,3,1,1
226,32,female,79.7,168,2.13,16955,57,8.1,3,habits,2,0,1
227,83,female,84.9,147,3.23,17971,66,7.5,4,habits,3,0,1
228,64,female,67.6,195,2.43,29669,46,8.0,3,consistency,3,0,0
229,45,female,86.6,193,2.46,5685,16,7.9,1,habits,1,0,1
230,52,other,56.4,143,3.64,20539,69,8.9,3,habits,3,2,1
231,51,male,53.7,174,2.93,11312,57,6.8,2,habits,2,1,1
232,94,male,97.2,198,2.47,16672,50,6.8,3,habits,2,1,1
233,13,male,78.9,142,1.84,12863,55,7.6,2,performance,2,1,2
234,23,male,91.0,193,1.01,19927,77,8.7,5,performance,3,1,2
235,69,female,57.2,184,2.08,10975,66,7.3,2,habits,2,0,1
236,62,male,56.1,179,1.97,10324,30,8.4,2,habits,1,1,1
237,35,female,64.6,146,3.07,17297,78,8.2,5,habits,3,0,1
238,43,male,57.6,166,1.89,6772,36,6.9,1,consistency,1,1,0
239,54,female,80.6,140,2.18,18166,62,7.9,3,consistency,2,0,0
240,19,female,58.7,166,1.15,24511,83,6.9,3,habits,3,0,1
241,28,male,52.4,155,1.94,15183,68,7.6,4,consistency,2,1,0
242,72,female,72.1,177,3.13,24475,91,6.4,5,consistency,3,0,0
243,14,male,50.7,146,4.0,17846,77,7.4,5,performance,3,1,2
244,13,male,43.0,183,1.93,6093,56,8.1,1,habits,1,1,1
245,60,male,72.0,162,2.83,25425,81,8.2,4,habits,3,1,1
246,24,male,43.8,180,3.07,27280,55,7.9,3,habits,3,1,1
247,81,male,81.6,198,1.83,24624,53,7.6,3,performance,3,1,2
248,49,female,49.1,150,2.26,4621,47,7.3,1,consistency,1,0,0
249,44,female,40.0,181,1.88,24988,50,6.0,3,consistency,3,0,0
250,21,female,65.6,192,3.41,19722,82,7.3,5,habits,3,0,1
251,31,male,72.2,172,2.91,25247,74,7.7,5,habits,3,1,1
252,60,female,77.4,189,2.41,9485,55,6.1,2,habits,2,0,1
253,92,male,72.6,175,1.45,5390,37,5.3,1,consistency,1,1,0
254,15,male,54.1,176,2.69,13349,39,8.3,2,habits,2,1,1
255,32,female,80.7,180,4.06,29072,86,7.5,4,habits,3,0,1
256,36,male,84.4,198,1.69,28062,63,7.5,3,consistency,3,1,0
257,66,female,51.9,156,1.96,12817,49,7.8,2,habits,2,0,1
258,45,female,67.3,174,2.16,6580,46,6.1,1,habits,1,0,1
259,36,male,65.9,187,2.75,9207,24,6.8,2,habits,1,1,1
260,87,male,73.3,144,1.81,9448,81,8.7,2,performance,2,1,2
261,84,male,66.9,187,0.82,27046,80,7.0,5,consistency,3,1,0
262,48,female,69.0,171,3.35,15676,30,7.0,3,performance,2,0,2
263,50,male,79.6,142,2.73,9507,67,6.5,2,habits,2,1,1
264,96,male,53.3,191,1.18,25022,48,6.6,3,performance,3,1,2
265,37,male,81.1,186,1.57,3763,55,8.2,1,performance,1,1,2
266,30,female,87.1,174,3.9,19090,81,5.0,5,consistency,3,0,0
267,94,male,94.5,191,3.21,8925,26,6.7,2,performance,1,1,2
268,78,male,40.0,153,2.86,12951,53,7.4,2,habits,2,1,1
269,66,female,67.3,187,2.08,8083,52,8.9,2,habits,1,0,1
270,47,female,40.5,170,2.46,24552,77,6.2,3,habits,3,0,1
271,92,male,40.0,170,2.31,27777,67,6.0,3,consistency,3,1,0
272,73,male,72.2,156,3.19,28714,41,6.4,3,consistency,3,1,0
273,53,male,64.0,199,1.59,11927,65,7.9,2,consistency,2,1,0
274,45,female,74.5,163,1.64,9542,43,7.3,2,habits,1,0,1
275,80,male,77.3,191,2.71,6804,65,5.7,1,habits,1,1,1
276,45,female,88.7,162,2.37,23526,54,7.4,3,habits,3,0,1
277,26,female,70.8,157,2.96,5368,36,8.7,1,consistency,1,0,0
278,33,female,113.9,189,1.93,28930,47,7.6,3,habits,3,0,1
279,60,male,74.6,193,2.56,16110,62,7.6,4,performance,2,1,2
280,32,female,97.6,153,1.95,15578,58,7.6,4,habits,2,0,1
281,20,female,40.0,189,2.21,8908,67,7.6,2,habits,2,0,1
282,19,female,90.2,154,1.17,10908,30,5.9,2,performance,1,0,2
283,79,male,67.3,154,1.66,4670,52,6.9,1,habits,1,1,1
284,29,other,40.8,145,1.39,17200,72,7.1,3,habits,2,2,1
285,45,male,76.3,166,3.09,27906,90,6.9,4,habits,3,1,1
286,60,male,65.5,154,2.7,13051,50,7.9,2,habits,2,1,1
287,88,male,78.7,189,0.99,10737,34,6.6,2,performance,1,1,2
288,71,female,85.2,175,3.53,21321,67,7.0,4,consistency,3,0,0
289,98,male,47.7,194,4.35,23056,78,6.1,4,habits,3,1,1
290,34,male,85.2,147,2.23,9331,51,7.6,2,consistency,1,1,0
291,42,male,70.1,154,1.95,26924,65,8.2,3,habits,3,1,1
292,50,male,90.3,142,3.98,7062,60,6.7,1,consistency,1,1,0
293,63,female,66.9,186,1.08,4613,48,7.9,1,performance,1,0,2
294,66,female,62.9,152,2.81,21643,82,7.4,5,performance,3,0,2
295,20,male,70.4,180,2.73,23732,42,4.9,4,habits,3,1,1
296,39,male,71.5,173,3.54,20631,58,7.3,4,habits,3,1,1
297,39,female,60.1,163,2.25,6996,33,6.9,1,habits,1,0,1
298,33,male,62.6,179,2.25,25252,40,7.5,4,consistency,3,1,0
299,42,male,51.6,171,1.53,12147,33,7.5,2,consistency,1,1,0
300,40,other,63.5,171,1.96,10775,45,6.5,2,habits,2,2,1
301,76,female,80.1,169,1.7,20169,58,8.8,3,performance,2,0,2
302,81,male,67.9,191,2.03,5891,47,7.0,1,habits,1,1,1
303,73,female,85.1,188,2.21,24182,66,7.2,4,habits,3,0,1
304,60,male,67.2,152,1.35,21787,63,8.0,3,habits,2,1,1
305,31,female,48.5,140,2.88,7492,33,7.1,1,habits,1,0,1
306,16,male,79.0,173,1.65,4081,40,9.7,1,habits,1,1,1
307,47,male,59.9,154,1.11,5033,46,6.9,1,consistency,1,1,0
308,76,male,66.5,183,1.88,4614,62,7.5,1,habits,1,1,1
309,61,female,88.6,153,2.45,21196,52,6.6,3,habits,3,0,1
310,29,female,52.6,196,1.38,28441,72,8.3,4,consistency,3,0,0
311,56,male,72.5,168,2.23,7641,53,7.4,1,habits,1,1,1
312,42,male,69.4,173,1.27,6653,18,6.8,1,consistency,1,1,0
313,58,female,80.5,157,3.6,21734,89,6.4,3,habits,3,0,1
314,18,male,82.8,193,2.97,16080,87,6.1,4,consistency,3,1,0
315,49,male,74.0,146,1.92,8559,24,7.6,2,performance,1,1,2
316,36,other,64.6,168,1.68,12474,55,5.8,2,habits,2,2,1
317,58,male,77.1,194,2.33,22814,51,8.6,3,consistency,3,1,0
318,65,female,90.0,170,2.63,9918,44,5.9,2,performance,2,0,2
319,72,other,69.6,164,1.98,6666,45,6.9,1,consistency,1,2,0
320,75,male,66.0,177,2.25,24790,75,6.4,3,habits,3,1,1
321,97,male,75.8,153,2.44,16600,53,7.3,3,habits,2,1,1
322,44,male,70.6,147,1.98,22462,53,7.3,3,consistency,3,1,0
323,99,female,49.9,166,2.16,21866,65,7.7,3,performance,3,0,2
324,45,female,73.6,193,0.94,18692,68,5.8,3,habits,2,0,1
325,79,female,49.8,141,2.88,10072,34,6.4,2,habits,2,0,1
326,30,male,75.6,156,2.41,12545,75,8.2,2,habits,2,1,1
327,37,female,58.0,176,1.46,6554,30,7.8,1,habits,1,0,1
328,66,female,70.6,153,3.33,3649,54,4.6,1,habits,1,0,1
329,70,female,75.9,164,2.46,15332,66,7.7,3,habits,2,0,1
330,79,female,106.8,195,1.87,28531,79,6.4,4,habits,3,0,1
331,58,female,81.1,169,3.4,28709,70,6.9,5,habits,3,0,1
332,36,female,90.5,168,2.68,28653,34,7.1,3,performance,3,0,2
333,44,female,98.1,159,2.28,3056,39,8.7,1,habits,1,0,1
334,59,male,77.3,160,1.7,5243,39,6.1,1,habits,1,1,1
335,98,male,74.3,192,2.92,29507,55,6.0,4,habits,3,1,1
336,35,female,54.0,161,2.22,28779,73,7.8,3,performance,3,0,2
337,78,male,68.3,174,2.79,24963,59,7.3,3,consistency,3,1,0
338,39,female,59.2,176,1.27,21106,57,8.6,4,consistency,3,0,0
339,14,other,64.0,155,2.1,22333,68,6.9,3,habits,3,2,1
340,29,female,98.1,189,3.81,29899,79,8.6,4,performance,3,0,2
341,45,male,71.7,197,1.46,7121,29,7.1,1,habits,1,1,1
342,21,male,56.9,188,1.98,20308,78,7.8,3,habits,3,1,1
343,55,male,90.6,182,2.29,28431,103,9.0,4,consistency,3,1,0
344,60,female,84.3,156,1.35,12722,33,7.0,2,performance,1,0,2
345,51,female,85.1,155,0.85,17721,57,8.3,3,consistency,2,0,0
346,54,female,40.0,197,2.04,14601,55,6.6,2,performance,2,0,2
347,38,male,99.2,194,2.9,16064,114,7.7,5,performance,3,1,2
348,62,female,61.6,141,1.96,3661,28,5.7,1,habits,1,0,1
349,37,female,81.7,143,2.3,26115,45,6.8,3,habits,3,0,1
350,36,male,107.9,160,2.03,7617,25,6.0,1,habits,1,1,1
351,25,female,102.3,178,3.12,23512,78,8.5,3,performance,3,0,2
352,72,male,55.3,173,1.87,5311,29,8.8,1,habits,1,1,1
353,19,male,48.3,169,1.8,14962,37,6.8,2,performance,2,1,2
354,69,female,91.5,145,2.0,10094,53,6.4,2,habits,2,0,1
355,48,male,72.1,156,3.21,25503,84,6.2,5,habits,3,1,1
356,57,female,62.5,178,3.19,11903,66,7.5,2,habits,2,0,1
357,32,female,79.3,164,1.56,4885,41,6.5,1,habits,1,0,1
358,77,female,67.6,144,2.67,16500,73,6.9,4,performance,3,0,2
359,20,male,80.5,144,2.64,29687,58,8.9,3,habits,3,1,1
360,28,female,71.0,159,2.11,16568,60,7.2,5,habits,3,0,1
361,26,female,80.8,155,2.01,5311,37,7.7,1,habits,1,0,1
362,88,female,56.6,190,1.37,18281,60,7.4,3,habits,2,0,1
363,99,male,91.4,180,0.96,8367,43,5.8,2,habits,1,1,1
364,27,male,80.5,176,2.26,6766,16,5.3,1,habits,1,1,1
365,78,female,79.7,179,2.13,19089,42,7.8,3,performance,2,0,2
366,44,male,53.2,148,2.54,16865,59,9.0,3,habits,2,1,1
367,99,female,95.5,144,2.59,24597,83,7.7,4,habits,3,0,1
368,75,female,69.8,181,1.52,10035,75,7.8,2,consistency,2,0,0
369,98,female,80.9,196,2.17,10863,47,6.3,2,habits,2,0,1
370,63,female,65.2,141,1.34,9876,39,8.2,2,habits,1,0,1
371,37,female,73.9,148,3.77,15004,74,8.5,5,consistency,3,0,0
372,70,female,74.5,182,1.25,12851,34,6.5,2,habits,1,0,1
373,75,female,40.0,175,2.06,10228,61,7.7,2,consistency,2,0,0
374,74,female,78.7,161,1.47,13620,82,5.4,2,habits,2,0,1
375,34,male,99.5,161,2.8,17398,49,8.0,3,consistency,2,1,0
376,70,male,78.1,161,1.97,14930,32,6.6,2,performance,2,1,2
377,70,female,55.6,173,2.44,21608,95,6.3,5,habits,3,0,1
378,98,male,79.7,194,2.8,10674,54,7.6,2,habits,2,1,1
379,61,male,85.9,168,2.62,20861,75,5.6,4,habits,3,1,1
380,64,male,77.7,177,2.36,7582,63,7.4,1,habits,1,1,1
381,54,female,68.9,198,1.71,25005,39,6.2,3,performance,3,0,2
382,82,female,66.4,185,1.82,18342,59,6.2,5,consistency,3,0,0
383,27,female,66.3,172,2.08,4164,37,7.2,1,habits,1,0,1
